H	K	L	2THETA	D-VALUE	MULT	INTENSITY
4	2	-2	75.65	1.2570	2	0.0
3	5	1	75.70	1.2564	2	0.0
3	-5	1	75.70	1.2564	2	0.0
3	3	6	75.91	1.2534	2	0.2
3	-3	6	75.91	1.2534	2	0.2
1	1	11	75.95	1.2529	2	0.0
1	-1	11	75.95	1.2529	2	0.0
1	7	2	76.09	1.2509	2	0.0
1	-7	2	76.09	1.2509	2	0.0
4	2	1	76.24	1.2488	2	0.1
4	-2	1	76.24	1.2488	2	0.1
4	0	3	76.61	1.2437	2	0.6
1	5	8	76.71	1.2423	2	0.1
1	-5	8	76.71	1.2423	2	0.1
3	-5	-3	76.76	1.2416	2	0.0
3	5	-3	76.76	1.2416	2	0.0
4	2	-3	76.78	1.2414	2	0.1
4	-2	-3	76.78	1.2414	2	0.1
2	0	10	77.03	1.2380	2	0.6
1	7	-3	77.08	1.2373	2	0.0
1	-7	-3	77.08	1.2373	2	0.0
3	5	2	77.08	1.2373	2	0.0
3	-5	2	77.08	1.2373	2	0.0
0	6	7	77.30	1.2343	2	0.1
0	6	-7	77.30	1.2343	2	0.1
0	4	10	77.49	1.2318	2	0.1
4	0	-5	77.67	1.2294	2	0.1
2	-6	4	77.68	1.2292	2	0.3
2	6	4	77.68	1.2292	2	0.3
4	2	2	77.75	1.2283	2	0.1
4	-2	2	77.75	1.2283	2	0.1
1	-7	3	77.86	1.2268	2	0.0
1	7	3	77.86	1.2268	2	0.0
2	4	8	77.93	1.2259	2	0.0
2	-4	8	77.93	1.2259	2	0.0
3	1	-9	78.17	1.2227	2	0.0
3	-1	-9	78.17	1.2227	2	0.0
2	6	-5	78.27	1.2214	2	0.2
2	-6	-5	78.27	1.2214	2	0.2
4	-2	-4	78.54	1.2178	2	0.1
4	2	-4	78.54	1.2178	2	0.1
3	-5	-4	78.66	1.2164	2	0.1
3	5	-4	78.66	1.2164	2	0.1
0	0	12	78.68	1.2160	2	0.1
2	4	-9	79.05	1.2113	2	0.1
2	-4	-9	79.05	1.2113	2	0.1
3	-5	3	79.11	1.2106	2	0.1
3	5	3	79.11	1.2106	2	0.1
1	-7	-4	79.23	1.2090	2	0.0
1	7	-4	79.23	1.2090	2	0.0
3	-1	8	79.26	1.2086	2	0.1
3	1	8	79.26	1.2086	2	0.1
4	0	4	79.42	1.2066	2	0.1
3	-3	-8	79.59	1.2044	2	0.2
3	3	-8	79.59	1.2044	2	0.2
4	2	3	79.90	1.2005	2	0.1
4	-2	3	79.90	1.2005	2	0.1
1	5	-9	80.05	1.1987	2	0.2
1	-5	-9	80.05	1.1987	2	0.2
1	7	4	80.27	1.1959	2	0.0
1	-7	4	80.27	1.1959	2	0.0
2	2	10	80.32	1.1953	2	0.2
2	-2	10	80.32	1.1953	2	0.2
3	3	7	80.55	1.1925	2	0.2
3	-3	7	80.55	1.1925	2	0.2
4	0	-6	80.73	1.1903	2	0.1
2	6	5	80.87	1.1886	2	0.2
2	-6	5	80.87	1.1886	2	0.2
4	2	-5	80.95	1.1876	2	0.1
4	-2	-5	80.95	1.1876	2	0.1
3	5	-5	81.19	1.1847	2	0.1
3	-5	-5	81.19	1.1847	2	0.1
2	6	-6	81.59	1.1799	2	0.5
2	-6	-6	81.59	1.1799	2	0.5
3	5	4	81.77	1.1778	2	0.0
3	-5	4	81.77	1.1778	2	0.0
0	2	12	81.96	1.1756	2	0.1
1	-7	-5	82.02	1.1748	2	0.0
1	7	-5	82.02	1.1748	2	0.0
0	6	-8	82.18	1.1730	2	0.1
0	6	8	82.18	1.1730	2	0.1
1	-5	9	82.37	1.1707	2	0.1
1	5	9	82.37	1.1707	2	0.1
1	3	11	82.52	1.1690	2	0.1
1	-3	11	82.52	1.1690	2	0.1
4	2	4	82.68	1.1671	2	0.0
4	-2	4	82.68	1.1671	2	0.0
4	0	5	82.85	1.1652	2	0.1
1	-7	5	83.31	1.1599	2	0.0
1	7	5	83.31	1.1599	2	0.0
1	1	12	83.56	1.1571	2	0.0
1	-1	12	83.56	1.1571	2	0.0
2	-4	9	83.70	1.1555	2	0.1
2	4	9	83.70	1.1555	2	0.1
4	-2	-6	83.99	1.1522	2	0.0
4	2	-6	83.99	1.1522	2	0.0
2	0	11	84.10	1.1510	2	0.2
0	4	11	84.29	1.1488	2	0.2
0	8	0	84.30	1.1488	2	0.0
3	-5	-6	84.35	1.1482	2	0.1
3	5	-6	84.35	1.1482	2	0.1
4	0	-7	84.41	1.1475	2	0.2
0	8	1	84.62	1.1452	2	0.0
0	8	-1	84.62	1.1452	2	0.0
2	-6	6	84.67	1.1447	2	0.0
2	6	6	84.67	1.1447	2	0.0
3	3	-9	84.70	1.1444	2	0.1
3	-3	-9	84.70	1.1444	2	0.1
4	-4	-1	85.02	1.1408	2	0.0
4	4	-1	85.02	1.1408	2	0.0
3	5	5	85.05	1.1405	2	0.0
3	-5	5	85.05	1.1405	2	0.0
3	1	9	85.14	1.1396	2	0.0
3	-1	9	85.14	1.1396	2	0.0
4	-4	0	85.22	1.1387	2	0.0
4	4	0	85.22	1.1387	2	0.0
1	7	-6	85.43	1.1364	2	0.0
1	-7	-6	85.43	1.1364	2	0.0
4	-4	-2	85.48	1.1359	2	0.0
4	4	-2	85.48	1.1359	2	0.0
2	-6	-7	85.52	1.1355	2	0.4
2	6	-7	85.52	1.1355	2	0.4
0	8	2	85.58	1.1348	2	0.0
0	8	-2	85.58	1.1348	2	0.0
3	-3	8	85.77	1.1328	2	0.1
3	3	8	85.77	1.1328	2	0.1
4	-4	1	86.05	1.1298	2	0.0
4	4	1	86.05	1.1298	2	0.0
4	-2	5	86.09	1.1294	2	0.0
4	2	5	86.09	1.1294	2	0.0
4	-4	-3	86.57	1.1244	2	0.0
4	4	-3	86.57	1.1244	2	0.0
0	0	13	86.75	1.1225	2	0.1
4	0	6	86.89	1.1210	2	0.3
1	7	6	86.97	1.1202	2	0.0
1	-7	6	86.97	1.1202	2	0.0
0	8	3	87.19	1.1180	2	0.0
0	8	-3	87.19	1.1180	2	0.0
2	2	11	87.34	1.1165	2	0.2
2	-2	11	87.34	1.1165	2	0.2
4	-4	2	87.52	1.1146	2	0.0
4	4	2	87.52	1.1146	2	0.0
0	6	-9	87.64	1.1134	2	0.1
0	6	9	87.64	1.1134	2	0.1
4	2	-7	87.64	1.1133	2	0.0
4	-2	-7	87.64	1.1133	2	0.0
3	5	-7	88.14	1.1084	2	0.0
3	-5	-7	88.14	1.1084	2	0.0
4	-4	-4	88.30	1.1068	2	0.0
4	4	-4	88.30	1.1068	2	0.0
1	-5	10	88.60	1.1038	2	0.0
1	5	10	88.60	1.1038	2	0.0
4	0	-8	88.71	1.1027	2	0.2
3	-5	6	88.96	1.1003	2	0.0
3	5	6	88.96	1.1003	2	0.0
2	6	7	89.09	1.0990	2	0.0
2	-6	7	89.09	1.0990	2	0.0
0	8	4	89.43	1.0957	2	0.0
0	8	-4	89.43	1.0957	2	0.0
1	7	-7	89.47	1.0953	2	0.0
1	-7	-7	89.47	1.0953	2	0.0
4	-4	3	89.63	1.0938	2	0.0
4	4	3	89.63	1.0938	2	0.0
0	2	13	89.98	1.0904	2	0.1
1	3	12	90.02	1.0900	2	0.0
1	-3	12	90.02	1.0900	2	0.0
2	4	10	90.04	1.0898	2	0.1
2	-4	10	90.04	1.0898	2	0.1
2	6	-8	90.06	1.0896	2	0.1
2	-6	-8	90.06	1.0896	2	0.1
4	-2	6	90.12	1.0891	2	0.0
4	2	6	90.12	1.0891	2	0.0
4	-4	-5	90.67	1.0839	2	0.0
4	4	-5	90.67	1.0839	2	0.0
1	-7	7	91.25	1.0785	2	0.0
1	7	7	91.25	1.0785	2	0.0
4	0	7	91.56	1.0757	2	0.4
3	-3	9	91.59	1.0754	2	0.1
3	3	9	91.59	1.0754	2	0.1
3	1	10	91.60	1.0753	2	0.0
3	-1	10	91.60	1.0753	2	0.0
0	4	12	91.66	1.0748	2	0.2
1	-1	13	91.69	1.0745	2	0.0
1	1	13	91.69	1.0745	2	0.0
2	0	12	91.72	1.0742	2	0.0
4	2	-8	91.93	1.0723	2	0.1
4	-2	-8	91.93	1.0723	2	0.1
0	8	-5	92.31	1.0689	2	0.0
0	8	5	92.31	1.0689	2	0.0
4	-4	4	92.38	1.0683	2	0.0
4	4	4	92.38	1.0683	2	0.0
3	5	-8	92.55	1.0667	2	0.0
3	-5	-8	92.55	1.0667	2	0.0
3	5	7	93.50	1.0584	2	0.1
3	-5	7	93.50	1.0584	2	0.1
4	0	-9	93.63	1.0572	2	0.2
4	-4	-6	93.68	1.0569	2	0.1
4	4	-6	93.68	1.0569	2	0.1
0	6	10	93.72	1.0565	2	0.0
